product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,social connectedness,environment,self_sufficiency,transparency_authenticity,tradition,individuality,diversity_equality,privacy,status,thrift_value,innovation,fun_adventure,health
"Optimum Nutrition Gold Standard 100% Whey Protein Powder, Double Rich Chocolate",Health & Personal Care,5,0,0,N,Y,Won't buy any other brand,Nothing tastes better,5/21/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Goats Milk Soap Bar Patchouli 3 oz.,Health & Personal Care,5,7,8,N,N,Decadent,"Marked by or providing unrestrained gratification; self-indulgent. This soap is for Patchouli lovers! While it isn't the longest lasting soap, the smell is divine and the lather is our of this world!",10/30/2006,0,0,0,0,0,0,0,0,0,1,0,0,0
Kirkland Signature Adult Multi Gummies - 320 ct - 2 pk,Health & Personal Care,5,0,0,N,Y,great product,"Gummies arent just for kids, these are great !!",8/4/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"Zyllion ZMA13BK Shiatsu Pillow Massager with Heat for Back, Neck, Shoulders (Black)",Health & Personal Care,5,1,7,N,Y,Five Stars,Wow!,10/2/2014,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Office Magenta Plastic Five Claw Design Head SPA Scalp Massager,Health & Personal Care,5,0,0,N,Y,Does the job,This thing does what it is suppose to do so I love it. I needed to file down one of the nodes because the plastic was pulling on my hair which was annoying. But now it's tug free!,8/29/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Six Star Elite Series Whey Protein Plus,Health & Personal Care,3,0,0,N,N,The taste is good - even better if you throw in a handful ...,"This product mixes very well in a blender. The taste is good - even better if you throw in a handful of assorted berries.<br /><br />I gave it a 3-star because it does NOT mix well with a spoon or in a shaker cup. Unless you enjoy eating clumps of protein powder, I would recommend that you only use this product with a blender, or go with a different product.",3/30/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Zantrex-3 - Rapid Weight Loss Incredible Energy - 2/60 Ct. Bottles,Health & Personal Care,1,1,1,N,N,waste of money,"I work out 4 days a week and after I felt nothing from phentermine, I tried this. No energy, no nothing even after I doubled the dose so that's 4 twice a day.",7/4/2015,0,0,0,0,0,0,0,0,0,1,0,0,1
Generic Dual Clean Replacement Brush Heads for Oral B Brushes(4 Ct.),Health & Personal Care,5,18,20,N,Y,I like these brush heads,"I like these brush heads, they are &#34;hard&#34; and I feel that my teeth are really getting a thorough cleaning. For the price, you just can't go wrong.",7/29/2014,0,0,0,0,0,0,0,0,0,1,0,0,1
JellyBeadz Brand - Blue -Cooling Neck Wrap Bandana Cold Therapy Scarf - BLUE,Health & Personal Care,5,0,0,N,Y,Five Stars,Perfect gift.,11/20/2014,1,0,0,0,0,0,0,0,0,1,0,0,0
Accumulair Platinum MERV 11 Air Filter/Furnace Filters (2 pack),Health & Personal Care,5,2,3,N,Y,These Accumulair Filters Do the Trick,I loved these filters. They fit like they are supposed to. They last a couple of months in my home which is very dusty (the air return is in the utility room where the dryer is located) and are easy to insert and remove. All-in-all a good deal.,4/19/2013,0,0,0,0,0,1,0,0,0,1,0,0,0
CalExotics Award Winning Sue Johansonâ€™s Super Head HonchoMale Masturbator - Male Silicone Masturbation Sleeve - 6.5 Inch Adult Male Sex Toy - Pink,Health & Personal Care,3,0,0,N,Y,Its aight,"Nothing wrong with it, its been very durable...Its just not amazing. It'll get you by but there are better options even for the low price",7/25/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
"Nature's Way Extra Virgin Organic Coconut Oil, 32-Ounce",Health & Personal Care,5,0,0,N,Y,Coconut lovers fav,"I've used serveral different brands for coconut oil and this brand is my favorite for several reasons. 1. Packaging...comes in a user friendly heavy duty plastic tub which makes it easy to store and scoop and the opening is perfect for measuring spoons or regular spoons and mini spatulas to get the very last bit. 2. Texture.....much creamier texture than most brands and melts smoother when warmed up. 3. Taste...I know a lot of cooks and chefs prefer a more neutral flavor but I personally love the more pronounced smell and hint of coconut. 4. Versatility...with the everyday user in mind I love to use this oil for popcorn, sauteing veggies or roasting as well as using as a scalp and hair treatment and makes for a wonderfully gentle makeup remover esp for the hard to budge waterproof mascara...be sure to rinse away from eyes very well tho...can block the delicate pores! I have also used this stuff to remove adhesive from my hands mixed up with a shake or two of salt!",4/7/2015,0,0,0,0,0,1,0,0,1,1,0,0,1
"Member's Mark Hydrocortisone Cream 1%, Net Wt. 4x2 oz. = 8 oz.",Health & Personal Care,5,2,2,N,Y,Just as good as name brand,"After using 4 tubes, as far as we can tell it is just as good as the name brand selling for $10 per 2 oz tube at the drugstore.",10/8/2010,0,0,0,0,0,0,0,0,0,1,0,0,0
Vibrating Head Massager,Health & Personal Care,5,0,0,N,Y,This massager feels soooooo good. The first time I used it I purred ...,This massager feels soooooo good. The first time I used it I purred like a kitten. Definitely relieves stress and stimulate the scalp. Love it!,12/28/2014,0,0,0,0,0,0,0,0,0,1,0,0,1
10/50/100/200Pcs/lot ERASER CLEANER MAGIC MELAMINE SPONGE CLEANING 10x6x2CM,Health & Personal Care,1,0,0,N,Y,Money Eraser!!!,"Just a plain sponge, no cleaning properties at all. The only Magic was that my money was cleaned from my wallet. ðŸ˜£",7/15/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
Pixnor Replacement 9W U-shaped 365nm Lamp Bulb Tube for Nail Art Dryer UV Lamp Light - 4 pcs/set,Health & Personal Care,5,0,0,N,Y,Amazing nail light and customer service.,"Amazing nail light! Perfect for what I need. Very useful timer options on the back. Very pleased with my lamp it looks very nice & works very well & very good value for money. Bought this lamp after reading the review, but unfortunately the two then three bulbs started blink and then turning off. Contacted company directly and new bulbs were sent straight away and it works brilliantly! Amazing customer service and a truly effective light that cures well in a few minutes using harmony gelish.",4/30/2015,0,0,0,0,0,0,0,0,1,1,0,0,0
Andis Company 85010 Replacement Combs/ 80345,Health & Personal Care,2,0,0,N,Y,Can not use them,They are the wrong size for the styler that I have so I can't even make them fit onto the hair dryer.,5/29/2013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Footless Compression Socks for Travel and Everyday Wear â€“ Argyle Travel Compression Stockings (M/L, White/Baby Blue/Royal Blue)",Health & Personal Care,5,0,0,N,Y,Great Product and Style,My daughter is a professional dancer and swears by these.,3/30/2015,1,0,0,0,0,1,0,0,0,0,0,0,0
Fitbit Zip Wireless Activity Tracker,Health & Personal Care,1,1,1,N,Y,To hard to use. May have already trashed it ...,To hard to use. May have already trashed it.,7/8/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
Universal Nutrition Animal Pak Sports Nutrition Multivitamin Supplement 15 Count,Health & Personal Care,5,0,0,N,Y,Five Stars,My favorite go to vitamin. It literally has everything you need!,5/19/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"Emerson Healthcare LLC Vitron C Tablets, 60 Count",Health & Personal Care,5,2,2,N,Y,I would recommend it.,Once before my hemoglobin was down to 6.9 and Vitron C helped get it back up. Now it went down to 8 so I ordered this again since it worked so well before. I would recommend it.,11/18/2014,0,0,0,0,0,0,0,0,1,1,0,0,1
Garcinia Cambogia - 800 mg - 2 Bottles = 60 Capsules,Health & Personal Care,5,2,2,N,Y,Excellent PureHealth product.,"First time I did not buy directly from PureHealth. Amazon did not carry 90 count bottles. Had to buy two. Product is still the same, but probably will go back and buy 90 count botgtles from PureHealth in the future. Having excellent weight loss results. Highly recommend and so does Dr. Oz.",10/25/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
Lab Series Skincare for Men Age Rescue Eye Therapy,Health & Personal Care,5,0,0,N,Y,"Great product, the skin around my eyes appear smoother ...","Great product, the skin around my eyes appear smoother and less tired. It is part of my nightly regime now.",8/5/2015,0,0,0,0,0,0,0,0,0,1,0,0,1
1vizn *Maximum* 30 Caps (1 Bottle),Health & Personal Care,5,1,1,N,Y,Five Stars,Excellent,2/27/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"60 Pills,",Health & Personal Care,5,0,0,N,N,Knee Pain Relief ~ From an Aging Hoopster,"I will be 50 years old next month and have enjoyed playing basketball with my sons for years. Over the five or so years, I have had to &#34;pay&#34; big time several days after playing, as my knees would ache terribly. After trying different joint supplements with minimal success, I have found Dr. Miller's Joint Repair to be the most beneficial in alleviating knee pain after basketball workouts. Thank you for your excellent product!",9/20/2014,1,0,0,0,0,0,0,0,1,1,0,0,1
The Good Morning Pill Liquicaff Energy Supplement Pill (250 Liquid-filled Capsules),Health & Personal Care,4,0,1,N,N,Four Stars,They work.,7/4/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"Garden of Life - Dr. Formulated Adult Probiotics Once Daily Ultra - Acidophilus Probiotic Supports Colon, Digestion, Immune System - Gluten, Soy-Free, Non-GMO - 30 Vegetarian Capsules",Health & Personal Care,5,29,31,N,N,Great product,"I have been searching for a reputable, organic, GMO free, probiotic formula to take because of being on antibiotics for 4 months due to a super bug called cdiff. The antibiotics also destroyed all the good bacteria in me which helped the super bug to grow and keep coming back. So far, this formula, along with the prebiotic formula to feed the good bacteria, has worked very well and I feel very healthy finally! I know it's not a cure and no medical claims have been made by this company to help prevent diseases but feeling healthy and energetic is all that counts with me at this point. Also, make sure it's delivered with an ice pack. It's very important to refrigerate to keep the good bacteria alive.",7/19/2015,0,1,0,0,0,0,0,0,0,1,0,0,1
Zen Super Shooter Cigarette Injector,Health & Personal Care,2,0,0,N,N,worth the extra money to buy the better model,"i did not buy my machine from Amazon, but was very unhappy with the machine. it was great for rolling half cigaretts, never could get it to fill the whole tube. gave it away with hopes they would have better luck, and bought the same brand of my first electric roller. it lasted for 3 years rolling for 3 people.",12/18/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
Doc Johnson The Super Sucker - ULTRASKYN - Pocket Pal,Health & Personal Care,4,3,4,N,Y,Does the job,"This is my second toy. If you want something tight, then this isn't for you. But it still has a very nice feel. It's also transparent, which makes it a different experience being able to see yourself inside it. Plus, it's only ten bucks. Easy to clean. Tough to beat for the price.",1/15/2013,0,0,0,0,0,1,0,0,0,1,0,0,0
Energizer 2032 Battery CR2032 Lithium 3v,Health & Personal Care,5,1,1,N,Y,Came quick and work great! Great price too!!,Awesome to get these so quickly and at a low price! My book light never shined so bright! :) Definitely recommend!,12/19/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
Multi Color 21 Compartments 7 Days Medicine Pill Storage Box,Health & Personal Care,5,0,2,N,Y,I really works!,"It holds all types of medicine! Just like it said! Isn't that crazy!?!?<br />SO SAYETH I, THE GREAT GYPSY JONES!",10/25/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
Emerg Alert Stainless Steel Medical ID Necklace - Epilepsy,Health & Personal Care,5,0,0,N,Y,satified,I purchased this for my diabetic nephew. I am definitely satisfied with my purchase and would recommend this to anyone,4/4/2014,1,0,0,0,0,0,0,0,0,1,0,0,1
"Easily Greener Swiffer Reusable Refills, Washable Mop Pads, 6 Pack",Health & Personal Care,1,1,7,N,Y,waste,This ended up being a waste of money. It's just too thick and is in clean very well. Soaks up the cleaner way too much,12/30/2013,0,0,0,0,0,0,0,0,0,1,0,0,0
"Turmeric Curcumin with Bioperine Anti-inflammatory, Antioxidant & Anti-Aging Turmeric Supplement. Joint Pain Relief with 95% Standardized Curcuminoids. Non-GMO Turmeric Capsules with Black Pepper",Health & Personal Care,3,20,24,N,Y,Three Stars,I like it so far haven't been taking them long but seems to be helping my joint pain.,5/20/2015,0,0,0,0,0,0,0,0,0,1,0,0,1
Organix South - TheraNeem Organix Toothpaste Neem Therape With Mint,Health & Personal Care,5,1,1,N,N,TheraNeem Mint Toothpaste,"I wasn't to sure about with some of the reviews, but decided to try it. It doesn't taste that bad, I like it not being strong like some regular brands. The tan color you get use to. They say it helps your gums stay or get healthy, so we will see, so far so good.<br />I will be buying it again.",4/1/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
Now Foods Oil Of Oregano 25%,Health & Personal Care,1,0,2,N,N,Not what expected,I guess I did not read the description close enough but be careful because this is not &#34;pure&#34; oil of oregano but a blend with olive oil and if you are looking to use it as a immune booster as I was it is not the right product. I should of guessed due to the lower price but Amazon is great and they refunded half of the cost when I submitted a refund request. At least I did not lose out completely.,4/3/2015,0,0,0,1,0,0,0,0,0,0,0,0,1
Omron 5 Series Upper Arm Blood Pressure Monitor,Health & Personal Care,5,0,0,N,Y,Great value,Does what it is supposed to,8/1/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
"Power Magnifier Set - 3X, 5X, 6X & 8X",Health & Personal Care,5,19,22,N,Y,Magnifying glasses,This is a set of 4 different size magnifying glasses. They are all optical glass and far better than expected. Quality product. Best price around!,9/17/2009,0,0,0,0,0,0,0,0,0,1,0,0,0
Marpac TSCI-330 Travel Sound Conditioner,Health & Personal Care,1,2,2,N,Y,Very disappointed with this purchase,"Have had two of these sound machines in the past with no problems. The one ordered thru Amazon and Dream Sales which I received was defective. Was very pleased with Amazon's fast response. Was a little surprised that noone asked if I wanted a replacement;however was impressed that I got a speedy response with a credit issued immediately. Also, did not receive any instructions as to what to do with the product I received, if anything.",4/5/2014,0,0,0,1,0,0,0,0,0,1,0,0,0
Doctor's Best Best NAC Detox Regulators,Health & Personal Care,5,26,27,N,Y,Best NAC I've ever used !,I started to take this to Aide in a Liver and Kidney problem I was having.<br />This is my New Best Friend as my Liver Enzymes dropped significantly after only 1 month of use @ 2 Caps a Day.,5/9/2015,0,0,0,0,0,0,0,0,0,1,0,0,1
"Oh Yeah Good Grab Almond Fudge Brownie, 12 1.59oz bars",Health & Personal Care,5,0,1,N,N,Doesn't get any better,"This is the protein bar for me! I love having one after a run. It is chewy, with a little gooey, and a great crunch factor - probably because there are real nuts all up in there. It is delicious - more like a candy bar than a protein bar. There's no aftertaste, no weird sour milk taste that I find so often in other protein bars, no chalkiness, no grittiness, and it's got some moistness even.<br /><br />Sure there are bars out there with slightly better numbers, but, at 13.6 calories per gram of protein, this one is in the top because when it comes to taste and texture - it doesn't get any better.<br /><br />I've only tried two of this brand, the Almond Fudge Brownie and a cookie flavored one, the cookie one was pretty good, too, but not as good as this one.",3/23/2012,0,0,0,0,0,1,0,0,0,1,0,0,0
"Vega Sport Recovery Acclerator, Apple Berry, Tub",Health & Personal Care,5,0,0,N,N,Expensive but worth it,"This is by far the best choice for post-work recovery supplement for vegans who are highly active and pay very close to the ingredients of the products they buy. Although, I wish we could get more product for the price we are paying.",10/2/2014,0,1,0,0,0,0,0,0,0,1,0,0,1
"MuscleTech Hydroxycut SX-7, 70 Count",Health & Personal Care,3,0,1,N,Y,Three Stars,didn't work so well for me.,12/22/2014,0,0,0,0,0,1,0,0,0,0,0,0,0
Cerkos Gel Toe Separators Stretchers Bunion Spacers Straightener Corrector Alignment,Health & Personal Care,3,0,1,N,Y,... I am hoping that will make my boots more comfortable.,I haven't used these yet with my boots since it is summer but I am hoping that will make my boots more comfortable.,8/9/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Quilted Northern Ultra Plush Bath Tissue,Health & Personal Care,5,0,0,N,Y,Five Stars,Great for the price. Ordering it again.,7/30/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"200 8"" X 12"" Weston Vacuum Sealer Bags, compatible with Foodsaverâ„¢ and all sealer machines",Health & Personal Care,5,2,2,N,Y,Good quality bags,These work well with my foodsaver and I have had no issues with them. They are of good quality and less expensive than at the stores.,3/2/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
The Original TUNG Brush - Tongue Cleaner with TUNG Gel Sample (Assorted Colors),Health & Personal Care,5,0,0,N,N,I am a believer,"I am a nutty Oral Care person, flossing rountinely and brushing. One day I saw the Tung Brush & Gel in a store after reading how important it is to brush your tongue, removes bad bacteria and cleanses your breath. So, I gave it a try. It is by far the best thing I have ever done. It makes my mouth feel clean, really clean. So, my daily regime is brush, floss and Tung Brush.",1/20/2012,0,0,0,0,0,1,0,0,0,1,0,0,1
Source Naturals L-Tryptophan 500mg,Health & Personal Care,5,35,45,N,N,Great product,Have been able to come off all meds for depression as well as sleeping pills. Have had no side effects and same dose continues to work for depression and insomnia. Give it a try....,8/10/2008,0,0,0,0,0,0,0,0,0,1,0,0,1
ECVISION Keramic Ultrasonic Humidifier Essential Oil Diffuser with state-of-the-art Aromatherapy Nebulizer System and Night Light,Health & Personal Care,5,0,0,N,Y,satisfied so far,works as expected. satisfied so far.,1/6/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
"SVETOL Green Coffee Bean Extract, 90 Liquid Softgels with 400mg of Clinically-Proven Svetol Per Cap",Health & Personal Care,5,4,6,N,Y,2Happyforclothes,"I have always been skeptical about products like these, and have always just thought of them as a company wanting to take your money and sale you a false hope. With this product I was proven to be absolutely wrong. My Skin is brighter, and when I look in the mirror I can see my face... the way it used to be. I have lost so many inches around my midsection, OMG, Legs, arms and even around my head. Yes I said it, my head, the extra chin I had developed has gotten himself lost, LOL. I say See Ya Later. This product is wonderful, and by the time for my family reunion no one will be able to stop me. I mean this product has given me so much energy, I have even had to step up the intensity in my work out regimen to keep up with myself. I you are thinking of getting this and are having mixed feelings, don't, get it, try it, and you will like me, Love it.",5/1/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
Oral-B Sonic Compatible Generic Replacement Brush Heads (4 ct.),Health & Personal Care,1,0,10,N,Y,Don't bother,Don't waste your time.<br />Probably won't fit no matter what the description says.<br />I was very hopeful and careful before I ordered this.<br />I read everything. Still didn't fit even though it said it would.,5/16/2012,0,0,0,0,0,0,0,0,0,0,0,0,0
"GoodSense Omeprazole Delayed Release, Acid Reducer Tablets 20 mg",Health & Personal Care,5,1,1,N,Y,Great Price,"I typically have to go to the wholesale place to get a price like this, which is not convenient. This showed up in one day, thanks!",4/19/2014,0,0,0,0,0,0,0,0,0,1,0,0,0
"Vicks Warm Mist Humidifier with Auto Shut-Off, 1 Gallon, Model V745A",Health & Personal Care,4,0,0,N,Y,Four Stars,pro: steam source (good for a cold or respiratory congestion). con: regular maintenance is required,1/27/2015,0,0,0,0,0,0,0,0,0,1,0,0,1
Truform Firm Open Toe Knee High Compression Stocking,Health & Personal Care,5,2,2,N,Y,works great if you wear a large size shoe,"these are great for anyone who has big feet and needs compression socks. The closed toe kind hurt my toes, because I wear a size 15 shoe, but these are perfect. Fit without crowding my toes up",5/2/2013,0,0,0,0,0,0,0,0,0,1,0,0,1
"Dynamic Health Multi-Vitamin with Minerals for Children, 8-Ounce",Health & Personal Care,4,0,0,N,Y,Four Stars,"My son does not enjoy the taste, but I am pleased with the list of vitamins and minerals included.",5/22/2015,1,0,0,0,0,0,0,0,0,1,0,0,0
"Thompson Psyllium Husk, 1050 Mg, 120 Capsules, (Pack of 2)",Health & Personal Care,5,2,2,N,Y,I love it!,Fantastic product! Instantly makes me feel fuller. This is my second order of this. Great value and great for adding fiber when you can't get it in your diet.,7/7/2014,0,0,0,0,0,0,0,0,0,1,0,0,1
"Doctor's Best Real Niacin (Extended Release) (500mg),",Health & Personal Care,5,12,13,N,Y,THE RIGHT VITAMIN WITHOUT FLUSHING,"This is the only time-released niacin made of nicotinic acid, the right kind of niacin for cardiac benefits, so I can take two and know that they are circulating all day. I like this brand better than the ones I find in the store and the price is good. Great product, in my opinion.",3/13/2013,0,0,0,0,0,0,0,0,1,1,0,0,1
California Exotics Shane's World Rechargeable Infrared Playpal Vibrator,Health & Personal Care,5,0,0,N,Y,not water proof lol,So I never used it myself or anything lol.<br />But she said it was great. Then she took it in the shower and killed it.<br /><br />So I had to order another one.<br />Seems to work pretty good. No charging problems or anything. Just dont take a hot bath with it and you'll be fine.lol,1/15/2013,1,0,0,0,0,0,0,0,0,1,0,0,0
Contour Products Cool Gel Infused Leg Pillow,Health & Personal Care,5,0,0,N,Y,Five Stars,Yes!,6/23/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
"bamboobies Washable Reusable Nursing Pads with Leak-Proof Backing for Breastfeeding, 3 Regular and 1 Overnight Pairs",Health & Personal Care,4,0,0,N,Y,Love these!,"First off, I love the colors it comes with. You can wear them in coordinating colored bras so they blend in, which makes a huge difference. I also love how soft and absorbent these nursing pads are! They are easy to wash and dry so I don't feel so wasteful using disposable pads everyday. I would recommend these to all nursing moms!",5/28/2015,0,0,0,0,0,1,0,0,0,1,0,0,0
Plate Guard Clear Large,Health & Personal Care,2,0,0,N,Y,Oops,"Great idea, but unfortunately, breaks easily. I bought one for a patient and she loved it, especially since it was clear. However, it has very little &#34;stretchability&#34; and after a couple runs in the dishwasher, broke in half.",2/5/2013,1,0,0,0,0,0,0,0,0,1,0,0,0
All Mighty Pack Free Clear Laundry Detergent,Health & Personal Care,4,1,1,N,Y,All free clear Pacs,I like the how easy the pacs are to use. They clean well and remove stains also. My only complaint is they seem to get sticky if you don't put them in an airtight container. I will buy them again.,2/13/2014,0,0,0,0,0,1,0,0,0,1,0,0,0
NOW Foods Eggwhite Protein,Health & Personal Care,5,4,4,N,Y,I Highly Recommend this item,"After almost going through one jug of this I can honestly say way more than satisfied. I was looking, when I ordered, for something to supplement my workout routines without having to sacrifice my health in doing so, so if you're like me and want something without harsh side effects then give this stuff a try. I wish I had more, and I'm about to order some more. I'm 5'11, 150-160 lbs. Nice amino-acid complex and decent protein. It's also VERY good for GERD sufferers.<br /><br />With regards to the taste. I found it rather bland. It doesn't mix, and clumps up. So, I just chew it like candy in a glass of milk. Doesn't really taste like anything at all.",4/25/2012,0,0,0,0,0,0,0,0,0,1,0,0,1
"Scotch-brite Jumbo Lint Roller, 90 Sheets ""Pack of 6"" (A Total of 540 Sheets)",Health & Personal Care,5,0,0,N,Y,Five Stars,nice deal,4/1/2015,0,0,0,0,0,0,0,0,0,1,0,0,0
